,,,,,,,,
,,,,,,,,
,Ticket,RTV Type,Supplier,RTV #,Collection Date,Collection Time,"C3
Reservation
Number",Status
,CGOPS-22842,RTV,17870 - UKYearnGlass,FSW59786806,14-Mar,10:00,25357393,Shipped
,CGOPS-23353,RTV,28972 - UKHallowoodFurniture,FSW60044116,14-Mar,9:30,25438292,Shipped
,CGOPS-22872,RTV,15154 - UKAspireFurniture,FSW59791530,21-Mar,12:00,"25437757 -1st truck
25507476 - 2nd truck
25559006 - 3rd truck",Shipped
,CGOPS-22867,RTV,15154 - UKAspireFurniture,FSW59791252,21-Mar,10:00,as above,Shipped
,CGOPS-23297,RTV,47644 - EURugs America,FSW59872071,6-Apr,10:00,25753302,Shipped
,CGOPS-23562,RTV,17905 - UKEcoFurniture,FSW59922046,16-Mar,15:00,25428855,Shipped
,CGOPS-23665,RTV,71278 - The TimberMaker,FSW60011685,16-Mar,11:00,25438334,Shipped
,CGOPS-24510,RTV,11629 - UKGalleryDirect,FSW60140733,16-Mar,12:00,25508995,Shipped
,CGOPS-23762,RTV,11478 - UKOneHoldingViscotherapy,FSW60138812,18-Mar,7:00,25507971,Shipped
,CGOPS-24307,RTV,31361 - UKSourceByNet,FSW60111663,21-Mar,12:00,25481094,Shipped
,CGOPS-18440,Liquidation,22793 - UKWalplusLtd,DM TBC ,22-Mar,,N/A,Shipped
,CGOPS-2535,Liquidation,31992 - UKZinus Inc.,DM20220209055657,,,,Shipped
,CGOPS-22653,RTV,33480 - UKNielsenDesignLtd (UKBainbridge),FSW59785531,25-Mar,10:00,25548637,Shipped
,CGOPS-24126,RTV,33480 - UKNielsenDesignLtd (UKBainbridge),FSW60078124,25-Mar,10:00,25548637,Shipped
,CGOPS-24955,Liquidation,25331 - UKTenzoAB,DM TBC ,28-Mar,,,Shipped
,CGOPS-25818,RTV,56647 - EUFurnitureR-Original,FSW60524227,29-Mar,10:00,25606807,Shipped
,CGOPS-26107,RTV,13758 - UKTGC,FSW60558079,29-Mar,12:00,25654237,Shipped
,CGOPS-26108,RTV,13758 - UKTGC,FSW60558150,30-Mar,12:00,25654260,Shipped
,CGOPS-25653,RTV,37802 - EUMontyTradingLtd,FSW60494995,30-Mar,10:00,25665365,Shipped
,CGOPS-25869,RTV,13758 - UKTGC,FSW60526099,30-Mar,10:00,,Cancelled
,CGOPS-25450,RTV,26515 - UKlassicltd,FSW60394313,31-Mar,13:30,25587379,Shipped
,CGOPS-14791,Liquidation,43762 - EUModus Furniture International Inc.,DM20220308044432,1-Apr,,Stage 170,Shipped
,CGOPS-20323,Liquidation,49336 - EUWholesale Interiors,DM20220330085748 & DM20220331021617,1-Apr,,,Shipped
,CGOPS-26111,RTV,13758 - UKTGC,FSW60558197,1-Apr,12:00,25654302,Shipped
,CGOPS-25621,RTV,9377 - UKTeamsonUKLtd,FSW60523467,1-Apr,,,Cancelled
,CGOPS-24936,RTV,3862 - UKBluebone,FSW60295814,4-Apr,11:30,25525767,Shipped
,CGOPS-24513,RTV,11630 - UKGalleryDirect,FSW60140888,5-Apr,12:00,25667148,Shipped
,CGOPS-26283,RTV,11629 - UKGalleryDirect,FSW60591539,5-Apr,12:00,25667148,Shipped
,CGOPS-26128,RTV,17905 - UKEcoFurniture,FSW60731639,7-Apr,9:00,25668690,Shipped
,CGOPS-20899,RTV,UKAncientMariner (2754),FSW59141852,8-Apr,14:00,25438912,Shipped
,CGOPS-24935,RTV,UKAncientMariner (2754),FSW60295812,8-Apr,14:00,25438912,Shipped
,CGOPS-26285,RTV,11629 - UKGalleryDirect,FSW60591651,8-Apr,12:00,25667114,Shipped
,WIC-3130,Liquidation,67423 - EU_Satin Lake MirrorFrame Arts Co Ltd,DM20220401081547,,,,Shipped
,WIC-3131,Liquidation,8570 - UKBrilliant AG-Parent,DM20220331164603,,,,Shipped
,CGOPS-25918,RTV,9759 - UKJRosenthalSonLtd,FSW60592223,11-Apr,10:00,25790155,Shipped
,CGOPS-26104,RTV,13758 - UKTGC,FSW60558003,20-Apr,12:00,25715574,Shipped
,WIC-3198,Liquidation,46995 - EUAntique Revival Inc (Stool International),DM20220407050913,13-Apr,,,Shipped
,CGOPS-26112,RTV,13758 - UKTGC,FSW60558267,13-Apr,12:00,25715541,Shipped
,CGOPS-27637,RTV,9579 - UKAnnaghmoreAgencies,FSW60864292,14-Apr,15:00,25729302,Shipped
,CGOPS-23506,Liquidation,8570 - UKBrilliant AG-Parent,FSW59915249,19-Apr,12:00,25594979,Shipped
,CGOPS-26115,RTV,13758 - UKTGC,FSW60558305,19-May,12:00,25715517,Shipped
,CGOPS-26337,RTV,3669 - UKSteens,FSW60599577,22-Apr,12:00,25790122,Shipped
,CGOPS-30057,RTV,11629 - UKGalleryDirect,FSW61523451,22-Apr,8:00,25943622,Shipped
,CGOPS-27193,RTV,11478 - UKOneHoldingViscotherapy,FSW60798135,27-Apr,7:00,25744616,Shipped
,CGOPS-26110,RTV,13758 - UKTGC,"FSW60558172 
FSW60558197
FSW60558003
FSW60558267",28-Apr,10:00,25654203,Shipped
,CGOPS-28529,RTV,20502 - UKMHStar,FSW61122524,29-Apr,9:00,25780305,Shipped
,CGOPS-28531,RTV,20502 - UKMHStar,FSW61123375,29-Apr,13:00,25996497,Shipped
,CGOPS-28152,RTV,20502 - UKMHStar,FSW61051734,29-Apr,9:00,25997289,Shipped
,CGOPS-28880,RTV,20502 - UKMHStar,FSW61260920,5-May,9:00,26107532,Shipped
,CGOPS-28031,QCFail,EUMontyTradingLtd,WHS-37802-15720434 (QC-Fail),6-May,11:00,26105023,Shipped
,CGOPS-29099,RTV,20502 - UKMHStar,FSW61300038,6-May,9:00 AM,26121467,Shipped
,CGOPS-28887,RTV,20502 - UKMHStar,STAGE170,6-May,13:00,26121582,Shipped
,CGOPS-29095,RTV,20502 - UKMHStar,FSW61299588,6-May,9:00,,Shipped
,CGOPS-28153,QCFail,EUBalticPine,WHS-44673-19113689,10-May,9:00,26134692,Shipped
,WIC-4073,RTV,20502 - UKMHStar,STAGE170,11-May,9:00,26162453,Shipped
,CGOPS-29299,RTV,20502 - UKMHStar,FSW61325157,11-May,13:00,26162461,Shipped
,CGOPS-25900,RTV,10798 - UKThinkRugs,FSW60726632,11-May,10:00,26058032,Shipped
,N/A,QCFail,UKHookes,WHS-17231-11087455,12-May,12PM-5PM,26136986,Shipped
,CGOPS-28892,RTV,9759 - UKJRosenthalSonLtd,FSW61599492,12-May,10:00 AM,26186312,Shipped
,CGOPS-29724,RTV,29564 - UKFirstChoiceLighting,FSW61490773,13-May,2-3PM,26201996,Shipped
,WIC-2972,QCFail,24425 - UKNotio,DM20220401072559,17-May,6:30,26200659,Shipped
,CGOPS-31671,RTV,9759 - UKJRosenthalSonLtd,FSW62517226,18-May,13:00,26220020,Shipped
,WIC-4236,Liquidation,22809 - EUDemeyere,Consol 05,10-Jun,,,Shipped
,CGOPS-26114,RTV,13758 - UKTGC,FSW60558289,19-May,14:00,26236604,Shipped
,CGOPS-31209,RTV,11478 - UKOneHoldingViscotherapy,FSW61973107,20-May,7:00,26135053,Shipped
,CGOPS-32209,QCFail,UKLassicltd,WHS-26515-19405376,20-May,8:00,26200725,Cancelled
,CGOPS-32932,RTV,26515 - UKlassicltd,house-keeping ticket - need to break order down by truck load,24-May,8:00,26217562,Imported
,CGOPS-30096,RTV,47790 - EUSorangTrading,FSW61712070/DM20220504024536,25-May,8:00,26331215,Shipped
,CGOPS-33604,RTV,58666 - EUFlash Furniture,FSW62788574,26-May,9:00,26287433,Shipped
,CGOPS-32766,RTV,30651 - UKFurinno,FSW62547102,27-May,8:00,26276857,Shipped
,CGOPS-33608,RTV,58666 - EUFlash Furniture,FSW62788680,27-May,13:00,26287425,Shipped
,CGOPS-27383,RTV,30651 - UKFurinno,FSW60828795,27-May,8:00,26276857,Shipped
,CGOPS-27433,RTV,28972 - UKHallowoodFurniture,FSW60982533,28-Apr,13:00,25789801,Shipped
,CGOPS-27814,RTV,9377 - UKTeamsonUKLtd,FSW61490311,30-May,8:00,26192567 / 26396770 <- new reference.,Shipped
,CGOPS-26286,RTV,11629 - UKGalleryDirect,FSW60625168,30-May,8:00,26192518,Shipped
,CGOPS-27433,RTV,28972 - UKHallowoodFurniture,FSW62388286,30-May,9:00,26321554,Shipped
,CGOPS-33981,RTV,37802 - EUMontyTradingLtd,FSW62862510,31-May,8:00,26246165,Shipped
,CGOPS-32764,RTV,23229 - UKMWGlasbergGmbH,FSW62547002,10-Jun,14:00,26430009,Shipped
,CGOPS-33609,RTV,58666 - EUFlash Furniture,FSW62788777,14-Jun,9:00,26287458,Staged
,CGOPS-29068,RTV,11629 - UKGalleryDirect,FSW61604070,6-Jun,7/8AM,26394874,Shipped
,CGOPS-33094,RTV,26515 - UKlassicltd,FSW62612868,15-Jun,14:00,26330415,Part Collection
,CGOPS-31852,RTV,20502 - UKMHStar,FSW62324665,15-Jun,13:00,26517474,Part Collection
,CGOPS-32209,QCFail,26515 - UKlassicltd,N/A - RTVQC1,7-Jun,8:00,26515775,Shipped
,CGOPS-34405,RTV,20502 - UKMHStar,FSW63014865,15-Jun,13:00,26441246,Part Collection
,CGOPS-34414,RTV,20502 - UKMHStar,FSW63015799,15-Jun,10:00,26593822,Part Collection
,CGOPS-33473,RTV,9759 - UKJRosenthalSonLtd,FSW62823929,7-Jun,7:00,26507210,Shipped
,CGOPS-32932,RTV,26515 - UKlassicltd,FSW62580289,15-Jun,14:00,26586230,Part Collection
,CGOPS-35248,RTV,49373 - EUDailyDealOffers,FSW63265212,15-Jun,11:00,26405746,Staged
,WIC-2972,RTV,24425 - UKNotio,DM20220401072559,15-Jun,8-4PM,26441154,Shipped
,WIC-2972,QCFail,24425 - UKNotio,DM20220401072559,15-Jun,8AM - 4PM,26625590,Shipped
,,,26515 - UKlassicltd,FSW62612823,15-Jun,13:00,,
